team_id,team_name,fgm,fga,fgPcg
1102,Air Force,628,1340,0.46865671641791046
1103,Akron,859,2009,0.4275759084121453
1104,Alabama,796,1789,0.44494130799329235
1105,Alabama A&M,554,1395,0.3971326164874552
1106,Alabama St,691,1744,0.39621559633027525
1107,Albany NY,724,1707,0.4241359109548916
1108,Alcorn St,614,1664,0.36899038461538464
1110,American Univ,716,1602,0.4469413233458177
1111,Appalachian St,723,1607,0.44990665836963284
1112,Arizona,969,2064,0.4694767441860465
1113,Arizona St,719,1674,0.4295101553166069
1114,Ark Little Rock,749,1809,0.41404090657822
1115,Ark Pine Bluff,627,1610,0.38944099378881986
1116,Arkansas,756,1734,0.4359861591695502
1117,Arkansas St,677,1596,0.4241854636591479
1119,Army,682,1637,0.4166157605375687
1120,Auburn,644,1635,0.39388379204892965
1122,Austin Peay,787,1760,0.4471590909090909
1123,Ball St,678,1521,0.4457593688362919
1124,Baylor,730,1576,0.4631979695431472
1125,Belmont,944,2045,0.46161369193154034
1126,Bethune-Cookman,663,1546,0.42884864165588615
1127,Binghamton,651,1642,0.39646772228989036
1129,Boise St,774,1787,0.4331281477336318
1130,Boston College,802,1749,0.4585477415666095
1131,Boston Univ,749,1863,0.4020397208803006
1132,Bowling Green,772,1789,0.43152599217439913
1133,Bradley,724,1698,0.42638398115429915
1135,Brown,653,1492,0.43766756032171583
1136,Bryant,680,1626,0.4182041820418204
1137,Bucknell,827,1855,0.445822102425876
1138,Buffalo,780,1642,0.47503045066991473
1139,Butler,888,2064,0.43023255813953487
1140,BYU,989,2207,0.44811961939284095
1141,C Michigan,640,1658,0.38600723763570566
1142,Cal Poly SLO,587,1497,0.3921175684702739
1143,California,769,1669,0.46075494307968845
1144,Campbell,710,1580,0.44936708860759494
1145,Canisius,739,1742,0.4242250287026406
1146,Cent Arkansas,592,1463,0.40464798359535203
1147,Centenary,552,1392,0.39655172413793105
1148,Central Conn,766,1758,0.43572241183162685
1149,Charleston So,686,1603,0.4279475982532751
1150,Charlotte,674,1629,0.41375076734192756
1151,Chattanooga,689,1686,0.40865954922894426
1152,Chicago St,679,1704,0.3984741784037559
1153,Cincinnati,848,1939,0.4373388344507478
1154,Citadel,703,1648,0.4265776699029126
1155,Clemson,810,1827,0.4433497536945813
1156,Cleveland St,757,1733,0.4368147720715522
1157,Coastal Car,756,1604,0.4713216957605985
1158,Col Charleston,962,2020,0.4762376237623762
1159,Colgate,683,1631,0.4187614960147149
1160,Colorado,909,1929,0.4712286158631415
1161,Colorado St,744,1588,0.46851385390428213
1162,Columbia,677,1580,0.42848101265822786
1163,Connecticut,1053,2429,0.4335117332235488
1164,Coppin St,684,1609,0.42510876320696084
1165,Cornell,658,1580,0.41645569620253164
1166,Creighton,771,1713,0.4500875656742557
1167,CS Bakersfield,657,1661,0.39554485249849486
1168,CS Fullerton,725,1628,0.4453316953316953
1169,CS Northridge,680,1588,0.4282115869017632
1170,CS Sacramento,541,1378,0.3925979680696662
1171,Dartmouth,605,1531,0.395166557805356
1172,Davidson,711,1687,0.4214582098399526
1173,Dayton,817,1999,0.408704352176088
1174,Delaware,663,1593,0.416195856873823
1175,Delaware St,616,1460,0.42191780821917807
1176,Denver,601,1324,0.45392749244712993
1177,DePaul,766,1800,0.4255555555555556
1178,Detroit,818,1775,0.4608450704225352
1179,Drake,687,1608,0.42723880597014924
1180,Drexel,719,1696,0.423938679245283
1181,Duke,1040,2206,0.471441523118767
1182,Duquesne,770,1702,0.45240893066980026
1183,E Illinois,586,1399,0.41887062187276625
1184,E Kentucky,635,1466,0.4331514324693042
1185,E Michigan,573,1499,0.38225483655770515
1186,E Washington,614,1547,0.39689722042663217
1187,East Carolina,639,1517,0.42122610415293343
1188,Edwardsville,545,1342,0.4061102831594635
1189,Elon,665,1583,0.4200884396715098
1190,ETSU,753,1697,0.44372421921037125
1191,Evansville,640,1455,0.43986254295532645
1192,F Dickinson,643,1618,0.3974042027194067
1193,Fairfield,725,1677,0.43231961836613
1194,FL Atlantic,693,1578,0.4391634980988593
1195,FL Gulf Coast,667,1662,0.401323706377858
1196,Florida,968,2083,0.46471435429668745
1197,Florida A&M,587,1530,0.3836601307189543
1198,Florida Intl,660,1519,0.43449637919684003
1199,Florida St,827,1903,0.4345769837099317
1200,Fordham,648,1636,0.3960880195599022
1201,Fresno St,711,1682,0.4227110582639715
1202,Furman,689,1542,0.446822308690013
1203,G Washington,712,1716,0.4149184149184149
1204,Ga Southern,649,1489,0.4358629952988583
1205,Gardner Webb,659,1606,0.41033623910336237
1206,George Mason,876,1861,0.4707146695325094
1207,Georgetown,809,1703,0.4750440399295361
1208,Georgia,823,1822,0.4517014270032931
1209,Georgia St,707,1676,0.42183770883054894
1210,Georgia Tech,752,1855,0.40539083557951483
1211,Gonzaga,895,1886,0.4745493107104984
1212,Grambling,699,1838,0.38030467899891185
