,Unnamed: 0,team_id,team_name,fgm,fga,fgPcg
0,0,1101,Abilene Chr,427,1053,0.40550807217473883
1,1,1102,Air Force,2493,5510,0.45245009074410164
2,2,1103,Akron,3253,7357,0.4421639255131168
3,3,1104,Alabama,2992,6783,0.44110275689223055
4,4,1105,Alabama A&M,2357,5896,0.3997625508819539
5,5,1106,Alabama St,2666,6711,0.3972582327521979
6,6,1107,Albany NY,3019,6922,0.4361456226524126
7,7,1108,Alcorn St,2474,6344,0.3899747793190416
8,9,1110,American Univ,2758,6192,0.44541343669250644
9,10,1111,Appalachian St,2708,6254,0.4330028781579789
10,11,1112,Arizona,3519,7665,0.45909980430528374
11,12,1113,Arizona St,3032,6768,0.44799054373522457
12,13,1114,Ark Little Rock,2797,6792,0.4118080094228504
13,14,1115,Ark Pine Bluff,2634,6534,0.40312213039485767
14,15,1116,Arkansas,3287,7516,0.4373336881319851
15,16,1117,Arkansas St,2825,6664,0.42391956782713086
16,18,1119,Army,2835,6575,0.4311787072243346
17,19,1120,Auburn,2789,6737,0.41398248478551286
18,21,1122,Austin Peay,2998,6591,0.4548626915490821
19,22,1123,Ball St,2522,5940,0.42457912457912456
20,23,1124,Baylor,3334,7323,0.45527789157449133
21,24,1125,Belmont,3598,7466,0.48191802839539244
22,25,1126,Bethune-Cookman,2795,6705,0.4168530947054437
23,26,1127,Binghamton,2429,6291,0.38610713718009854
24,28,1129,Boise St,3015,6863,0.43931225411627567
25,29,1130,Boston College,2870,6544,0.43856968215158926
26,30,1131,Boston Univ,3059,7094,0.43120947279391036
27,31,1132,Bowling Green,2941,6817,0.4314214463840399
28,32,1133,Bradley,2929,6963,0.42065201780841593
29,34,1135,Brown,2563,6120,0.4187908496732026
30,35,1136,Bryant,2934,6624,0.4429347826086957
31,36,1137,Bucknell,3083,6887,0.44765500217801657
32,37,1138,Buffalo,2916,6393,0.45612388549976535
33,38,1139,Butler,3160,7398,0.4271424709380914
34,39,1140,BYU,3722,8117,0.4585437969693236
35,40,1141,C Michigan,2658,6600,0.4027272727272727
36,41,1142,Cal Poly SLO,2601,6314,0.4119417168197656
37,42,1143,California,3332,7277,0.45788099491548717
38,43,1144,Campbell,2957,6528,0.45297181372549017
39,44,1145,Canisius,3067,7071,0.43374345919954743
40,45,1146,Cent Arkansas,2747,6526,0.42093165798345084
41,46,1147,Centenary,552,1392,0.39655172413793105
42,47,1148,Central Conn,3017,7005,0.4306923625981442
43,48,1149,Charleston So,2813,6574,0.4278977791299057
44,49,1150,Charlotte,2924,6827,0.4282993994433866
45,50,1151,Chattanooga,2748,6687,0.41094661283086587
46,51,1152,Chicago St,2678,6736,0.39756532066508316
47,52,1153,Cincinnati,3347,7932,0.4219616742309632
48,53,1154,Citadel,2616,6076,0.4305464121132324
49,54,1155,Clemson,2944,6848,0.42990654205607476
50,55,1156,Cleveland St,2890,6579,0.4392764857881137
51,56,1157,Coastal Car,2794,6211,0.44984704556432137
52,57,1158,Col Charleston,3162,7172,0.4408812046848857
53,58,1159,Colgate,2834,6485,0.4370084811102544
54,59,1160,Colorado,3255,7299,0.4459515002055076
55,60,1161,Colorado St,3026,6731,0.4495617293121379
56,61,1162,Columbia,2484,5813,0.4273180801651471
57,62,1163,Connecticut,3467,7822,0.44323702377908464
58,63,1164,Coppin St,2714,6768,0.4010047281323877
59,64,1165,Cornell,2579,6275,0.41099601593625495
60,65,1166,Creighton,3595,7348,0.4892487751769189
61,66,1167,CS Bakersfield,2688,6362,0.42250864508016345
62,67,1168,CS Fullerton,2967,6587,0.45043267041141644
63,68,1169,CS Northridge,2817,6687,0.42126514131897713
64,69,1170,CS Sacramento,2420,5678,0.42620641070799575
65,70,1171,Dartmouth,2352,5802,0.40537745604963804
66,71,1172,Davidson,3189,7074,0.45080576759966073
67,72,1173,Dayton,3238,7266,0.4456372144233416
68,73,1174,Delaware,3082,7189,0.4287105299763528
69,74,1175,Delaware St,2458,5918,0.41534302129097667
70,75,1176,Denver,2706,5742,0.47126436781609193
71,76,1177,DePaul,3252,7555,0.43044341495698213
72,77,1178,Detroit,3171,7179,0.44170497283744253
73,78,1179,Drake,2827,6441,0.4389070020183201
74,79,1180,Drexel,2839,6714,0.42284778075662793
75,80,1181,Duke,3781,8112,0.4660996055226824
76,81,1182,Duquesne,3006,6870,0.4375545851528384
77,82,1183,E Illinois,2526,5869,0.43039700119270746
78,83,1184,E Kentucky,2889,6381,0.4527503526093089
79,84,1185,E Michigan,2434,6303,0.3861653181024909
80,85,1186,E Washington,2829,6805,0.4157237325495959
81,86,1187,East Carolina,2589,6018,0.43020937188434694
82,87,1188,Edwardsville,2402,5560,0.43201438848920864
83,88,1189,Elon,2815,6560,0.4291158536585366
84,89,1190,ETSU,2955,6909,0.42770299609205387
85,90,1191,Evansville,2848,6392,0.4455569461827284
86,91,1192,F Dickinson,2704,6527,0.4142791481538226
87,92,1193,Fairfield,2955,6972,0.4238382099827883
88,93,1194,FL Atlantic,2768,6568,0.42143727161997563
89,94,1195,FL Gulf Coast,3207,7200,0.4454166666666667
90,95,1196,Florida,3733,7993,0.46703365444764167
91,96,1197,Florida A&M,2726,6988,0.3900973096737264
92,97,1198,Florida Intl,2692,6278,0.42879898056705956
93,98,1199,Florida St,3239,7208,0.44936182019977805
94,99,1200,Fordham,2793,7092,0.39382402707275804
95,100,1201,Fresno St,2700,6589,0.40977386553346484
96,101,1202,Furman,2493,5881,0.4239074987247067
97,102,1203,G Washington,2991,6857,0.43619658742890477
98,103,1204,Ga Southern,2728,6326,0.4312361681947518
99,104,1205,Gardner Webb,2766,6638,0.41669177463091295
